Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-19,INFY,EQ,1312.05,1320.0,1331.0,1312.0,1319.35,1316.65,1320.27,5585744,737469421610000.0,178275.0,2574937.0,0.461
2021-01-20,INFY,EQ,1316.65,1320.55,1348.4,1320.55,1338.85,1339.45,1338.37,8225838,1100922184575000.0,195330.0,3198588.0,0.38880000000000003
2021-01-21,INFY,EQ,1339.45,1350.0,1361.05,1335.0,1342.0,1339.7,1344.32,6142421,825735425780000.0,156050.0,3033502.0,0.4939
2021-01-22,INFY,EQ,1339.7,1327.0,1356.0,1326.55,1336.0,1340.85,1344.65,9646591,1297126102225000.0,188343.0,5913234.0,0.613
2021-01-25,INFY,EQ,1340.85,1345.0,1347.9,1313.0,1335.0,1325.1,1337.58,6542611,875127354685000.0,159466.0,3814914.0,0.5831000000000001
2021-01-27,INFY,EQ,1325.1,1319.6,1327.55,1285.1,1300.5,1301.0,1308.99,8133665,1064686126040000.0,285525.0,4665656.0,0.5736
2021-01-28,INFY,EQ,1301.0,1291.8,1296.45,1272.55,1276.5,1276.2,1283.02,4660690,597977497230000.0,212130.0,2338859.0,0.5018
2021-01-29,INFY,EQ,1276.2,1286.25,1291.15,1231.0,1250.0,1239.05,1253.29,12183519,1526943739485000.0,268406.0,8230671.0,0.6756000000000001
2021-02-01,INFY,EQ,1239.05,1250.55,1277.95,1241.0,1267.1,1260.9,1255.6,8880279,1115010443225000.0,232672.0,4479182.0,0.5044
2021-02-02,INFY,EQ,1260.9,1280.0,1294.4,1263.6,1275.5,1271.25,1275.19,6892490,878922315679999.9,168360.0,3386619.0,0.4913
2021-02-03,INFY,EQ,1271.25,1277.65,1304.0,1273.0,1285.0,1284.65,1289.14,8182968,1054900346365000.0,204774.0,4333962.0,0.5296000000000001
2021-02-04,INFY,EQ,1284.65,1285.0,1293.4,1272.05,1278.5,1279.35,1281.04,5032240,644648633145000.0,148262.0,2611651.0,0.519
2021-02-05,INFY,EQ,1279.35,1286.4,1288.75,1262.0,1273.0,1272.1,1270.01,5477481,695646841735000.0,176339.0,2774704.0,0.5065999999999999
2021-02-08,INFY,EQ,1272.1,1285.5,1310.0,1275.5,1310.0,1303.55,1292.02,6921922,894325291040000.0,198135.0,3121995.0,0.451
2021-02-09,INFY,EQ,1303.55,1306.9,1332.0,1297.85,1308.1,1305.55,1317.89,7965949,1049826984010000.0,168139.0,3091429.0,0.38810000000000006
2021-02-10,INFY,EQ,1305.55,1295.8,1304.35,1283.6,1297.0,1296.5,1293.4,5951207,769726566760000.0,175936.0,2693010.0,0.4525
2021-02-11,INFY,EQ,1296.5,1289.0,1296.0,1283.05,1292.2,1292.65,1289.54,4673317,602643886270000.0,128045.0,2707694.0,0.5794
2021-02-12,INFY,EQ,1292.65,1305.0,1323.75,1301.55,1312.0,1309.8,1312.31,5797875,760860080280000.0,142747.0,1168961.0,0.2016
2021-02-15,INFY,EQ,1309.8,1320.0,1328.4,1307.1,1312.0,1309.65,1317.42,4363513,574856187995000.0,143342.0,2047482.0,0.4692
2021-02-16,INFY,EQ,1309.65,1314.0,1319.75,1286.0,1294.5,1290.4,1298.05,6896421,895191899370000.1,285705.0,4050319.0,0.5872999999999999
2021-02-17,INFY,EQ,1290.4,1290.4,1294.5,1275.0,1280.5,1281.3,1283.76,4575741,587413358320000.0,142040.0,2084387.0,0.45549999999999996
2021-02-18,INFY,EQ,1281.3,1276.0,1306.0,1275.0,1289.35,1292.45,1291.86,6437551,831644582130000.0,178755.0,3406927.0,0.5292
2021-02-19,INFY,EQ,1292.45,1296.1,1299.5,1276.8,1293.0,1291.3,1288.37,5389696,694392460855000.0,129418.0,2864493.0,0.5315
2021-02-22,INFY,EQ,1291.3,1295.0,1308.55,1260.0,1264.15,1265.2,1282.74,7371303,945545693375000.0,205288.0,3748207.0,0.5085000000000001
2021-02-23,INFY,EQ,1265.2,1271.15,1291.0,1257.55,1268.0,1266.35,1270.87,6612942,840418198580000.0,237023.0,3539785.0,0.5353
2021-02-24,INFY,EQ,1266.35,1260.05,1276.6,1252.0,1272.7,1274.3,1265.24,4537258,574072700055000.0,125315.0,2383948.0,0.5254
2021-02-25,INFY,EQ,1274.3,1288.45,1299.75,1272.0,1275.0,1274.55,1283.44,8788221,1127913337575000.0,215308.0,5860547.0,0.6668999999999999
2021-02-26,INFY,EQ,1274.55,1269.0,1274.3,1244.75,1252.0,1253.3,1256.57,15132388,1901485654245000.0,296665.0,9161967.0,0.6055
2021-03-01,INFY,EQ,1253.3,1263.3,1284.5,1259.0,1271.0,1267.0,1271.66,5756286,732003730665000.0,133035.0,3344135.0,0.5810000000000001
2021-03-02,INFY,EQ,1267.0,1282.25,1310.0,1279.2,1308.6,1304.5,1294.56,10461434,1354292795510000.0,182506.0,6551888.0,0.6263000000000001
2021-03-03,INFY,EQ,1304.5,1319.2,1347.0,1308.0,1340.95,1343.55,1329.25,9056399,1203822265200000.0,189231.0,4897964.0,0.5408
2021-03-04,INFY,EQ,1343.55,1335.0,1363.85,1325.9,1334.6,1330.35,1343.22,12041941,1617496145180000.0,225028.0,5289423.0,0.4393
2021-03-05,INFY,EQ,1330.35,1328.5,1340.0,1305.05,1320.05,1316.7,1322.67,6486176,857907540440000.0,180930.0,3131285.0,0.4828
2021-03-08,INFY,EQ,1316.7,1324.8,1346.1,1317.2,1336.05,1335.75,1334.28,5119392,683069926180000.0,126809.0,2621080.0,0.512
2021-03-09,INFY,EQ,1335.75,1329.5,1350.45,1318.75,1344.0,1345.55,1334.21,6518173,869658449575000.0,144157.0,3617807.0,0.555
2021-03-10,INFY,EQ,1345.55,1356.9,1374.0,1355.0,1366.5,1368.15,1365.17,7925984,1082030408425000.0,177164.0,3965517.0,0.5003
2021-03-12,INFY,EQ,1368.15,1373.0,1391.7,1370.05,1375.3,1374.85,1381.13,9462061,1306837447910000.0,199285.0,6173518.0,0.6524
2021-03-15,INFY,EQ,1374.85,1370.0,1379.9,1358.5,1371.95,1373.6,1369.96,6658665,912208251575000.0,174194.0,3687770.0,0.5538000000000001
2021-03-16,INFY,EQ,1373.6,1386.05,1406.0,1380.5,1384.6,1384.0,1391.2,9352771,1301154302950000.0,230871.0,5151968.0,0.5508
2021-03-17,INFY,EQ,1384.0,1392.25,1400.0,1382.0,1387.1,1387.0,1392.47,7626744,1062002545600000.0,157640.0,3955892.0,0.5186999999999999
2021-03-18,INFY,EQ,1387.0,1393.75,1393.75,1313.5,1341.8,1337.1,1347.8,10961755,1477423443495000.0,298042.0,5544994.0,0.5058
2021-03-19,INFY,EQ,1337.1,1330.0,1355.2,1318.0,1347.15,1344.45,1340.27,12767112,1711133091285000.0,235459.0,6608143.0,0.5176
2021-03-22,INFY,EQ,1344.45,1350.1,1376.0,1336.1,1371.1,1370.8,1355.94,4862758,659360526520000.0,129112.0,2199710.0,0.4524
2021-03-23,INFY,EQ,1370.8,1372.45,1383.25,1359.6,1369.8,1371.55,1372.44,7165335,983399111585000.0,164495.0,4362930.0,0.6089
2021-03-24,INFY,EQ,1371.55,1357.85,1370.45,1346.25,1355.0,1353.75,1357.63,6134303,832813865225000.0,143327.0,3197000.0,0.5212
2021-03-25,INFY,EQ,1353.75,1346.75,1352.5,1327.6,1337.6,1333.8,1338.88,8749994,1171523122075000.0,184200.0,5246781.0,0.5996
2021-03-26,INFY,EQ,1333.8,1344.7,1356.7,1332.0,1338.7,1336.2,1340.61,4922071,659856452525000.0,138471.0,2501215.0,0.5082
2021-03-30,INFY,EQ,1336.2,1346.9,1400.0,1336.15,1386.5,1385.3,1373.99,10546919,1449135627780000.0,227944.0,5618355.0,0.5327000000000001
2021-03-31,INFY,EQ,1385.3,1382.0,1388.0,1363.3,1367.3,1368.05,1370.72,8220987,1126867750410000.0,218153.0,4107507.0,0.49960000000000004
2021-04-01,INFY,EQ,1368.05,1380.0,1391.6,1371.0,1386.0,1385.2,1382.72,5675155,784714879455000.0,146481.0,3176842.0,0.5598
2021-04-05,INFY,EQ,1385.2,1391.0,1425.0,1387.0,1415.0,1409.9,1406.84,9479572,1333627356495000.0,237018.0,3462914.0,0.3653
2021-04-06,INFY,EQ,1409.9,1423.0,1426.0,1406.45,1414.0,1411.05,1415.69,5793571,820189883990000.0,153955.0,2555430.0,0.4411
2021-04-07,INFY,EQ,1411.05,1410.25,1434.95,1406.6,1430.0,1430.2,1422.23,5879234,836160036755000.0,135633.0,2734437.0,0.4651
2021-04-08,INFY,EQ,1430.2,1430.0,1451.7,1421.0,1438.15,1439.85,1440.96,5654434,814778850925000.0,179859.0,2480903.0,0.4388
2021-04-09,INFY,EQ,1439.85,1455.0,1455.0,1430.05,1441.0,1441.05,1441.23,6052712,872337011165000.0,134860.0,2125177.0,0.3511
2021-04-12,INFY,EQ,1441.05,1474.0,1477.55,1415.0,1431.5,1425.75,1438.59,20384532,2932501271525000.0,477964.0,8931478.0,0.43810000000000004
2021-04-13,INFY,EQ,1425.75,1433.0,1435.25,1375.0,1402.85,1397.15,1394.92,14855206,2072181412959999.8,453578.0,6428451.0,0.43270000000000003
2021-04-15,INFY,EQ,1397.15,1332.3,1366.4,1320.0,1363.3,1360.75,1347.38,25342491,3414593565555000.0,678751.0,10516044.0,0.41500000000000004
2021-04-16,INFY,EQ,1360.75,1365.0,1370.85,1346.6,1348.1,1353.75,1358.97,10879878,1478539274235000.0,285474.0,5019567.0,0.46140000000000003
2021-04-19,INFY,EQ,1353.75,1340.0,1379.7,1332.35,1363.0,1362.55,1359.57,12508028,1700554710735000.0,260647.0,5617272.0,0.4491
2021-04-20,INFY,EQ,1362.55,1379.0,1379.0,1342.4,1349.0,1351.35,1357.18,8560766,1161846045640000.0,174560.0,4377456.0,0.5113000000000001
2021-04-22,INFY,EQ,1351.35,1355.55,1364.8,1345.15,1352.0,1351.1,1352.38,6622446,895608014204999.9,203956.0,3342474.0,0.5047
2021-04-23,INFY,EQ,1351.1,1343.0,1348.4,1331.0,1333.9,1333.8,1339.49,7316262,980008484240000.0,163801.0,4123289.0,0.5636
2021-04-26,INFY,EQ,1333.8,1332.25,1351.3,1321.0,1345.0,1343.55,1343.19,7088606,952136128720000.1,130375.0,4218129.0,0.5951
2021-04-27,INFY,EQ,1343.55,1346.0,1353.0,1340.15,1347.5,1348.5,1346.89,3636115,489744522405000.0,145974.0,1871084.0,0.5146000000000001
2021-04-28,INFY,EQ,1348.5,1358.0,1359.5,1344.6,1355.8,1356.0,1353.45,4879234,660377760205000.0,137376.0,2857134.0,0.5856
2021-04-29,INFY,EQ,1356.0,1368.0,1369.0,1351.4,1356.0,1356.35,1360.05,5412357,736109004740000.0,119277.0,3130945.0,0.5785
2021-04-30,INFY,EQ,1356.35,1346.3,1373.9,1345.9,1348.6,1354.35,1361.16,8354677,1137202778465000.0,131718.0,5408113.0,0.6473000000000001
